iteration=1, cost value=2851.40842, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29256, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2852.01213, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29350, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38440, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2854.51070, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29359, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2854.14194, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29328, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2853.68286, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29262, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2854.54681, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29312, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2853.74540, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29361, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38440, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2853.14029, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29312, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2853.25541, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29259, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38439, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
iteration=1, cost value=2851.66147, tau=0.00500, solver status=optimal
iteration=2, cost value=2957.29304, tau=0.00600, solver status=optimal
iteration=3, cost value=2957.38440, tau=0.00720, solver status=optimal
iteration=4, cost value=2957.38458, tau=0.00864, solver status=optimal
iteration=5, cost value=2957.38458, tau=0.01037, solver status=optimal
